R-square,MAE,RSME,MedAE,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold
0.295025,72.7683,121.626675,38.292,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",20,"QuantileTransformer(output_distribution='normal', random_state=27033074)",rf,0,True
0.318575,73.68465,119.3866,43.0123,"MLPRegressor(max_iter=10000, random_state=27033074)",50,QuantileTransformer(random_state=27033074),kb,0,True
-0.031775,69.30815,147.236725,14.053525,SVR(gamma='auto'),10,PowerTransformer(),kb,0,True
0.304025,71.96465,120.65005,37.56,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",30,QuantileTransformer(random_state=27033074),rf,0,True
0.09085,67.88125,137.429975,13.2125,LogisticRegression(random_state=27033074),100,QuantileTransformer(random_state=27033074),,1,False
-0.2045,87.00535,157.602025,25,DecisionTreeRegressor(random_state=27033074),50,"QuantileTransformer(output_distribution='normal', random_state=27033074)",rf,0,False
0.2888,80.0102,122.0311,53.12005,RidgeCV(),50,QuantileTransformer(random_state=27033074),kb,0,True
0.290125,71.59805,121.574275,34.4969,"XGBRegressor(base_score=0.5, booster='gbtree', callbacks=None,
             colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
             early_stopping_rounds=None, enable_categorical=False,
             eval_metric=None, gamma=0, gpu_id=-1, grow_policy='depthwise',
             importance_type=None, interaction_constraints='',
             learning_rate=0.300000012, max_bin=256, max_cat_to_onehot=4,
             max_delta_step=0, max_depth=6, max_leaves=0, min_child_weight=1,
             missing=nan, monotone_constraints='()', n_estimators=100, n_jobs=0,
             num_parallel_tree=1, predictor='auto', random_state=27033074,
             reg_alpha=0, reg_lambda=1, ...)",250,MaxAbsScaler(),rf,0,False
0.2586,63.874575,125.007825,20.772875,GaussianProcessRegressor(random_state=27033074),150,QuantileTransformer(random_state=27033074),rf,0,True
0.2715,93.6215,123.461375,71.51765,AdaBoostRegressor(random_state=27033074),388,MaxAbsScaler(),,0,False
0.3169,73.376025,119.646175,38.36565,"GradientBoostingRegressor(n_estimators=500, random_state=27033074)",270,PowerTransformer(),rf,0,True
