F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold,support,resampling
0.7785249999999999,0.7833,0.7771,0.7985,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",495,StandardScaler(),,0,True,60,True
0.781575,0.782925,0.78335,0.8003750000000001,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",160,StandardScaler(),kb,0,True,60,True
0.77985,0.780475,0.7825249999999999,0.7985750000000001,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",230,StandardScaler(),rf,0,True,60,True
0.7751500000000001,0.766375,0.7866500000000001,0.7919250000000001,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",20,StandardScaler(),,1,True,60,True
0.7618499999999999,0.759725,0.7671,0.781475,"MLPClassifier(max_iter=10000, random_state=27033074)",495,PowerTransformer(),,0,False,60,False
0.7605250000000001,0.76415,0.760425,0.7816,"MLPClassifier(max_iter=10000, random_state=27033074)",470,PowerTransformer(),kb,0,False,60,False
0.7659750000000001,0.77755,0.757525,0.788575,"MLPClassifier(max_iter=10000, random_state=27033074)",190,PowerTransformer(),rf,0,False,60,False
0.753825,0.753125,0.7583249999999999,0.77455,"MLPClassifier(max_iter=10000, random_state=27033074)",160,PowerTransformer(),,1,False,60,False
0.7832,0.7646499999999999,0.805,0.7966,"SVC(gamma='auto', random_state=27033074)",495,QuantileTransformer(random_state=27033074),,0,True,60,True
0.7864000000000001,0.7660750000000001,0.81005,0.799275,"SVC(gamma='auto', random_state=27033074)",160,QuantileTransformer(random_state=27033074),kb,0,True,60,True
0.783875,0.7659,0.804975,0.79735,"SVC(gamma='auto', random_state=27033074)",330,QuantileTransformer(random_state=27033074),rf,0,True,60,True
0.780775,0.76395,0.80085,0.7947,"SVC(gamma='auto', random_state=27033074)",180,QuantileTransformer(random_state=27033074),,1,True,60,True
0.7797499999999999,0.757275,0.8062750000000001,0.7918499999999999,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",495,QuantileTransformer(random_state=27033074),,0,False,60,False
0.7811250000000001,0.7583,0.8079750000000001,0.7932750000000001,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",480,QuantileTransformer(random_state=27033074),kb,0,False,60,False
0.783625,0.774825,0.79585,0.799275,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",330,QuantileTransformer(random_state=27033074),rf,0,False,60,False
0.78095,0.7571749999999999,0.808775,0.7928,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",180,QuantileTransformer(random_state=27033074),,1,False,60,False
0.747425,0.666525,0.8624750000000001,0.732125,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",495,normalize,,0,False,60,False
0.7591749999999999,0.6782250000000001,0.87295,0.744625,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",220,normalize,kb,0,False,60,False
0.7613,0.686375,0.872475,0.74725,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",140,normalize,rf,0,False,60,False
0.767775,0.7253999999999999,0.8250500000000001,0.771325,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",90,normalize,,1,False,60,False
0.711875,0.7075750000000001,0.7204750000000001,0.7350000000000001,DecisionTreeClassifier(random_state=27033074),495,MinMaxScaler(),,0,True,60,True
0.7152499999999999,0.721375,0.71285,0.7409250000000001,DecisionTreeClassifier(random_state=27033074),200,MinMaxScaler(),kb,0,True,60,True
0.7187,0.7192000000000001,0.72035,0.743,DecisionTreeClassifier(random_state=27033074),90,MinMaxScaler(),rf,0,True,60,True
0.6842750000000001,0.6817,0.6891,0.710275,DecisionTreeClassifier(random_state=27033074),30,MinMaxScaler(),,1,True,60,True
0.78065,0.780875,0.7829499999999999,0.79925,RidgeClassifierCV(),495,QuantileTransformer(random_state=27033074),,0,False,60,False
0.785825,0.7786500000000001,0.7958,0.8022499999999999,RidgeClassifierCV(),170,QuantileTransformer(random_state=27033074),kb,0,False,60,False
0.784475,0.7819,0.790025,0.8021,RidgeClassifierCV(),290,QuantileTransformer(random_state=27033074),rf,0,False,60,False
0.7852,0.7841250000000001,0.789175,0.80305,RidgeClassifierCV(),50,QuantileTransformer(random_state=27033074),,1,False,60,False
0.7744,0.782775,0.769575,0.7958999999999999,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=27033074, ...)",495,MaxAbsScaler(),,0,False,60,False
0.7785,0.7888999999999999,0.7717250000000001,0.8001000000000001,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=27033074, ...)",400,MaxAbsScaler(),kb,0,False,60,False
0.7769499999999999,0.7857749999999999,0.771675,0.79815,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=27033074, ...)",400,MaxAbsScaler(),rf,0,False,60,False
0.7498,0.754925,0.747525,0.77265,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=27033074, ...)",140,MaxAbsScaler(),,1,False,60,False
0.779525,0.729125,0.8404250000000001,0.7827999999999999,GaussianProcessClassifier(random_state=27033074),495,normalize,,0,False,60,False
0.780025,0.7303,0.840025,0.78355,GaussianProcessClassifier(random_state=27033074),490,normalize,kb,0,False,60,False
0.7792999999999999,0.728375,0.84085,0.7822250000000001,GaussianProcessClassifier(random_state=27033074),490,normalize,rf,0,False,60,False
0.779525,0.729125,0.8404250000000001,0.7827999999999999,GaussianProcessClassifier(random_state=27033074),390,normalize,,1,False,60,False
0.75585,0.74635,0.7683,0.7737,AdaBoostClassifier(random_state=27033074),495,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True,60,True
0.7621,0.750375,0.777075,0.7791,AdaBoostClassifier(random_state=27033074),220,"QuantileTransformer(output_distribution='normal', random_state=27033074)",kb,0,True,60,True
0.75835,0.747425,0.772025,0.77555,AdaBoostClassifier(random_state=27033074),260,"QuantileTransformer(output_distribution='normal', random_state=27033074)",rf,0,True,60,True
0.7448750000000001,0.7332,0.759625,0.762725,AdaBoostClassifier(random_state=27033074),30,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,1,True,60,True
0.774,0.781525,0.7692,0.79525,"GradientBoostingClassifier(n_estimators=500, random_state=27033074)",495,,,0,True,60,False
0.7797,0.7881750000000001,0.77455,0.80115,"GradientBoostingClassifier(n_estimators=500, random_state=27033074)",200,,kb,0,True,60,False
