"F1-Score","Precision","Recall","Accuracy","Model","Num_Features","Preprocessing","Fea_Selection","Dim_Reduction","Var_Threshold","support","resampling"
0.78055,0.787,0.777475,0.8005,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,"MaxAbsScaler()",,0,"True",60,"True"
0.782125,0.78275,0.784625,0.80075,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",160,"MaxAbsScaler()","kb",0,"True",60,"True"
0.77965,0.7834,0.779175,0.799,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",240,"MaxAbsScaler()","rf",0,"True",60,"True"
0.76425,0.7445,0.78835,0.778175,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",20,"MaxAbsScaler()",,1,"True",60,"True"
0.7491,0.756975,0.7446,0.772325,"MLPClassifier(max_iter=10000, random_state=27033074)",401,"PowerTransformer()",,0,"True",60,"False"
0.756775,0.770125,0.746675,0.7809,"MLPClassifier(max_iter=10000, random_state=27033074)",50,"PowerTransformer()","kb",0,"True",60,"False"
0.76345,0.77945,0.751675,0.7879,"MLPClassifier(max_iter=10000, random_state=27033074)",160,"PowerTransformer()","rf",0,"True",60,"False"
0.755425,0.759525,0.7538,0.7768,"MLPClassifier(max_iter=10000, random_state=27033074)",120,"PowerTransformer()",,1,"True",60,"False"
0.7828,0.763375,0.805425,0.79605,"SVC(gamma='auto', random_state=27033074)",401,"QuantileTransformer(random_state=27033074)",,0,"True",60,"True"
0.7864,0.766075,0.81005,0.799275,"SVC(gamma='auto', random_state=27033074)",160,"QuantileTransformer(random_state=27033074)","kb",0,"True",60,"True"
0.7838,0.7664,0.804575,0.7978,"SVC(gamma='auto', random_state=27033074)",40,"QuantileTransformer(random_state=27033074)","rf",0,"True",60,"True"
0.78365,0.772275,0.7975,0.798875,"SVC(gamma='auto', random_state=27033074)",40,"QuantileTransformer(random_state=27033074)",,1,"True",60,"True"
0.77445,0.762,0.789625,0.79,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",401,"QuantileTransformer(random_state=27033074)",,0,"False",60,"False"
0.774925,0.7798,0.772525,0.7954,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",310,"QuantileTransformer(random_state=27033074)","kb",0,"False",60,"False"
0.780125,0.7794,0.78385,0.7981,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",320,"QuantileTransformer(random_state=27033074)","rf",0,"False",60,"False"
0.776325,0.762175,0.793675,0.791125,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",70,"QuantileTransformer(random_state=27033074)",,1,"False",60,"False"
0.7498,0.655725,0.889225,0.72695,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",401,"normalize",,0,"False",60,"False"
0.760025,0.67195,0.886675,0.74155,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",250,"normalize","kb",0,"False",60,"False"
0.765775,0.687725,0.87575,0.75325,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",140,"normalize","rf",0,"False",60,"False"
0.76595,0.72195,0.827575,0.76905,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",40,"normalize",,1,"False",60,"False"
0.709325,0.703225,0.7192,0.73235,"DecisionTreeClassifier(random_state=27033074)",401,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,"False",60,"True"
0.715275,0.711175,0.723325,0.739075,"DecisionTreeClassifier(random_state=27033074)",270,"QuantileTransformer(output_distribution='normal', random_state=27033074)","kb",0,"False",60,"True"
0.7186,0.71775,0.72255,0.742625,"DecisionTreeClassifier(random_state=27033074)",30,"QuantileTransformer(output_distribution='normal', random_state=27033074)","rf",0,"False",60,"True"
0.68745,0.68845,0.689575,0.714475,"DecisionTreeClassifier(random_state=27033074)",40,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,1,"False",60,"True"
0.778825,0.769125,0.791625,0.794625,"RidgeClassifierCV()",401,"QuantileTransformer(random_state=27033074)",,0,"True",60,"True"
0.78835,0.7695,0.8112,0.801525,"RidgeClassifierCV()",180,"QuantileTransformer(random_state=27033074)","kb",0,"True",60,"True"
0.7878,0.7724,0.8067,0.801925,"RidgeClassifierCV()",220,"QuantileTransformer(random_state=27033074)","rf",0,"True",60,"True"
0.791675,0.7794,0.80705,0.806075,"RidgeClassifierCV()",20,"QuantileTransformer(random_state=27033074)",,1,"True",60,"True"
0.773275,0.72975,0.829525,0.777775,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=27033074, ...)",401,"normalize",,0,"False",60,"True"
