F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold,support,resampling
0.7805500000000001,0.7869999999999999,0.7774749999999999,0.8005000000000001,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,MaxAbsScaler(),,0,True,60,True
0.7491,0.756975,0.7445999999999999,0.772325,"MLPClassifier(max_iter=10000, random_state=27033074)",401,PowerTransformer(),,0,True,60,False
0.7827999999999999,0.763375,0.805425,0.7960499999999999,"SVC(gamma='auto', random_state=27033074)",401,QuantileTransformer(random_state=27033074),,0,True,60,True
0.7744500000000001,0.7619999999999999,0.789625,0.79,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",401,QuantileTransformer(random_state=27033074),,0,False,60,False
0.7497999999999999,0.655725,0.889225,0.7269500000000001,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",401,normalize,,0,False,60,False
0.709325,0.703225,0.7192000000000001,0.7323500000000001,DecisionTreeClassifier(random_state=27033074),401,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,False,60,True
0.778825,0.7691,0.7916000000000001,0.794625,RidgeClassifierCV(),401,QuantileTransformer(random_state=27033074),,0,True,60,True
0.773275,0.7297499999999999,0.829525,0.777775,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=27033074, ...)",401,normalize,,0,False,60,True
0.7722,0.7216,0.833325,0.7750999999999999,GaussianProcessClassifier(random_state=27033074),401,normalize,,0,False,60,False
0.758075,0.745575,0.773725,0.774775,AdaBoostClassifier(random_state=27033074),401,QuantileTransformer(random_state=27033074),,0,True,60,True
0.77305,0.7814500000000001,0.76795,0.7945249999999999,"GradientBoostingClassifier(n_estimators=500, random_state=27033074)",401,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True,60,False
