F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold,support,resampling
0.781575,0.782925,0.78335,0.8003750000000001,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",160,StandardScaler(),kb,0,True,60,True
0.7659750000000001,0.77755,0.757525,0.788575,"MLPClassifier(max_iter=10000, random_state=27033074)",190,PowerTransformer(),rf,0,False,60,False
0.7864000000000001,0.7660750000000001,0.81005,0.799275,"SVC(gamma='auto', random_state=27033074)",160,QuantileTransformer(random_state=27033074),kb,0,True,60,True
0.783625,0.774825,0.79585,0.799275,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",330,QuantileTransformer(random_state=27033074),rf,0,False,60,False
0.767775,0.7253999999999999,0.8250500000000001,0.771325,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",90,normalize,,1,False,60,False
0.7187,0.7192000000000001,0.72035,0.743,DecisionTreeClassifier(random_state=27033074),90,MinMaxScaler(),rf,0,True,60,True
0.785825,0.7786500000000001,0.7958,0.8022499999999999,RidgeClassifierCV(),170,QuantileTransformer(random_state=27033074),kb,0,False,60,False
0.7785,0.7888999999999999,0.7717250000000001,0.8001000000000001,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=27033074, ...)",400,MaxAbsScaler(),kb,0,False,60,False
0.780025,0.7303,0.840025,0.78355,GaussianProcessClassifier(random_state=27033074),490,normalize,kb,0,False,60,False
0.7621,0.750375,0.777075,0.7791,AdaBoostClassifier(random_state=27033074),220,"QuantileTransformer(output_distribution='normal', random_state=27033074)",kb,0,True,60,True
0.7797,0.7881750000000001,0.77455,0.80115,"GradientBoostingClassifier(n_estimators=500, random_state=27033074)",200,,kb,0,True,60,False
